BatchID,JobID,alpha_a,alpha_b,alpha_c,beta_a,beta_b,beta_c,gamma_BA,gamma_CA,delta_BA,delta_CA,delBEa
36,1,0.2,0.6,0.9,1.2,0.9,1.2,1.8,0.6,0.5,0.5,0.3
36,2,0.6,0.6,0.9,1.2,0.9,1.2,1.8,0.6,0.5,0.5,0.3
36,3,0.9,0.6,0.9,1.2,0.9,1.2,1.8,0.6,0.5,0.5,0.3
36,4,0.2,0.9,0.9,1.2,0.9,1.2,1.8,0.6,0.5,0.5,0.3
36,5,0.6,0.9,0.9,1.2,0.9,1.2,1.8,0.6,0.5,0.5,0.3
36,6,0.9,0.9,0.9,1.2,0.9,1.2,1.8,0.6,0.5,0.5,0.3
36,7,0.2,0.2,0.2,0.6,1.2,1.2,1.8,0.6,0.5,0.5,0.3
36,8,0.6,0.2,0.2,0.6,1.2,1.2,1.8,0.6,0.5,0.5,0.3
36,9,0.9,0.2,0.2,0.6,1.2,1.2,1.8,0.6,0.5,0.5,0.3
36,10,0.2,0.6,0.2,0.6,1.2,1.2,1.8,0.6,0.5,0.5,0.3
36,11,0.6,0.6,0.2,0.6,1.2,1.2,1.8,0.6,0.5,0.5,0.3
36,12,0.9,0.6,0.2,0.6,1.2,1.2,1.8,0.6,0.5,0.5,0.3
36,13,0.2,0.9,0.2,0.6,1.2,1.2,1.8,0.6,0.5,0.5,0.3
36,14,0.6,0.9,0.2,0.6,1.2,1.2,1.8,0.6,0.5,0.5,0.3
36,15,0.9,0.9,0.2,0.6,1.2,1.2,1.8,0.6,0.5,0.5,0.3
36,16,0.2,0.2,0.6,0.6,1.2,1.2,1.8,0.6,0.5,0.5,0.3
36,17,0.6,0.2,0.6,0.6,1.2,1.2,1.8,0.6,0.5,0.5,0.3
36,18,0.9,0.2,0.6,0.6,1.2,1.2,1.8,0.6,0.5,0.5,0.3
36,19,0.2,0.6,0.6,0.6,1.2,1.2,1.8,0.6,0.5,0.5,0.3
36,20,0.6,0.6,0.6,0.6,1.2,1.2,1.8,0.6,0.5,0.5,0.3
36,21,0.9,0.6,0.6,0.6,1.2,1.2,1.8,0.6,0.5,0.5,0.3
36,22,0.2,0.9,0.6,0.6,1.2,1.2,1.8,0.6,0.5,0.5,0.3
36,23,0.6,0.9,0.6,0.6,1.2,1.2,1.8,0.6,0.5,0.5,0.3
36,24,0.9,0.9,0.6,0.6,1.2,1.2,1.8,0.6,0.5,0.5,0.3
36,25,0.2,0.2,0.9,0.6,1.2,1.2,1.8,0.6,0.5,0.5,0.3
36,26,0.6,0.2,0.9,0.6,1.2,1.2,1.8,0.6,0.5,0.5,0.3
36,27,0.9,0.2,0.9,0.6,1.2,1.2,1.8,0.6,0.5,0.5,0.3
36,28,0.2,0.6,0.9,0.6,1.2,1.2,1.8,0.6,0.5,0.5,0.3
36,29,0.6,0.6,0.9,0.6,1.2,1.2,1.8,0.6,0.5,0.5,0.3
36,30,0.9,0.6,0.9,0.6,1.2,1.2,1.8,0.6,0.5,0.5,0.3
36,31,0.2,0.9,0.9,0.6,1.2,1.2,1.8,0.6,0.5,0.5,0.3
36,32,0.6,0.9,0.9,0.6,1.2,1.2,1.8,0.6,0.5,0.5,0.3
36,33,0.9,0.9,0.9,0.6,1.2,1.2,1.8,0.6,0.5,0.5,0.3
36,34,0.2,0.2,0.2,0.9,1.2,1.2,1.8,0.6,0.5,0.5,0.3
36,35,0.6,0.2,0.2,0.9,1.2,1.2,1.8,0.6,0.5,0.5,0.3
36,36,0.9,0.2,0.2,0.9,1.2,1.2,1.8,0.6,0.5,0.5,0.3
36,37,0.2,0.6,0.2,0.9,1.2,1.2,1.8,0.6,0.5,0.5,0.3
36,38,0.6,0.6,0.2,0.9,1.2,1.2,1.8,0.6,0.5,0.5,0.3
36,39,0.9,0.6,0.2,0.9,1.2,1.2,1.8,0.6,0.5,0.5,0.3
36,40,0.2,0.9,0.2,0.9,1.2,1.2,1.8,0.6,0.5,0.5,0.3
36,41,0.6,0.9,0.2,0.9,1.2,1.2,1.8,0.6,0.5,0.5,0.3
36,42,0.9,0.9,0.2,0.9,1.2,1.2,1.8,0.6,0.5,0.5,0.3
36,43,0.2,0.2,0.6,0.9,1.2,1.2,1.8,0.6,0.5,0.5,0.3
36,44,0.6,0.2,0.6,0.9,1.2,1.2,1.8,0.6,0.5,0.5,0.3
36,45,0.9,0.2,0.6,0.9,1.2,1.2,1.8,0.6,0.5,0.5,0.3
36,46,0.2,0.6,0.6,0.9,1.2,1.2,1.8,0.6,0.5,0.5,0.3
36,47,0.6,0.6,0.6,0.9,1.2,1.2,1.8,0.6,0.5,0.5,0.3
36,48,0.9,0.6,0.6,0.9,1.2,1.2,1.8,0.6,0.5,0.5,0.3
36,49,0.2,0.9,0.6,0.9,1.2,1.2,1.8,0.6,0.5,0.5,0.3
36,50,0.6,0.9,0.6,0.9,1.2,1.2,1.8,0.6,0.5,0.5,0.3
36,51,0.9,0.9,0.6,0.9,1.2,1.2,1.8,0.6,0.5,0.5,0.3
36,52,0.2,0.2,0.9,0.9,1.2,1.2,1.8,0.6,0.5,0.5,0.3
36,53,0.6,0.2,0.9,0.9,1.2,1.2,1.8,0.6,0.5,0.5,0.3
36,54,0.9,0.2,0.9,0.9,1.2,1.2,1.8,0.6,0.5,0.5,0.3
36,55,0.2,0.6,0.9,0.9,1.2,1.2,1.8,0.6,0.5,0.5,0.3
36,56,0.6,0.6,0.9,0.9,1.2,1.2,1.8,0.6,0.5,0.5,0.3
36,57,0.9,0.6,0.9,0.9,1.2,1.2,1.8,0.6,0.5,0.5,0.3
36,58,0.2,0.9,0.9,0.9,1.2,1.2,1.8,0.6,0.5,0.5,0.3
36,59,0.6,0.9,0.9,0.9,1.2,1.2,1.8,0.6,0.5,0.5,0.3
36,60,0.9,0.9,0.9,0.9,1.2,1.2,1.8,0.6,0.5,0.5,0.3
